name,jurisdiction
EGHTESAD NOVIN BANK,ir
PASARGAD BANK,ir
KARAFARIN BANK,ir
SAMAN BANK,ir
SARMAYEH BANK,ir
TAT BANK,ir
BANK-E SHAHR,ir
HEKMAT IRANIAN BANK,ir
TOURISM BANK,ir
IRAN ZAMIN BANK,ir
MEHR IRAN CREDIT UNION BANK,ir
TOSEE TAAVON BANK,ir
ISLAMIC REGIONAL COOPERATION BANK,ir
CREDIT INSTITUTION FOR DEVELOPMENT,ir
NATIONAL IRANIAN TANKER COMPANY,ir
NATIONAL IRANIAN TANKER COMPANY LLC,ir
N.I.T.C. REPRESENTATIVE OFFICE,ir
ARTA SHIPPING ENTERPRISES LIMITED,ir
ARASH SHIPPING ENTERPRISES LIMITED,ir
PROTON PETROCHEMICALS SHIPPING LIMITED,ir
DANESH SHIPPING COMPANY LIMITED,ir
DAVAR SHIPPING CO LTD,ir
HADI SHIPPING COMPANY LIMITED,ir
HARAZ SHIPPING COMPANY LIMITED,ir
HATEF SHIPPING COMPANY LIMITED,ir
HIRMAND SHIPPING COMPANY LIMITED,ir
HODA SHIPPING COMPANY LIMITED,ir
HOMA SHIPPING COMPANY LIMITED,ir
HONAR SHIPPING COMPANY LIMITED,ir
TC SHIPPING COMPANY LIMITED,ir
MEHRAN SHIPPING COMPANY LIMITED,ir
MERSAD SHIPPING COMPANY LIMITED,ir
SAMAN SHIPPING COMPANY LIMITED,ir
ASAN SHIPPING ENTERPRISE LIMITED,ir
SARV SHIPPING COMPANY LIMITED,ir
SEPID SHIPPING COMPANY LIMITED,ir
SIMA SHIPPING COMPANY LIMITED,ir
SINA SHIPPING COMPANY LIMITED,ir
CASPIAN MARITIME LIMITED,ir
MINAB SHIPPING COMPANY LIMITED,ir
PARS PETROCHEMICAL SHIPPING COMPANY,ir
DENA TANKERS FZE,ir
PETRO SUISSE INTERTRADE COMPANY SA,ir
HONG KONG INTERTRADE COMPANY,ir
NOOR ENERGY (MALAYSIA) LTD.,ir
PETRO ENERGY INTERTRADE COMPANY,ir
MINISTRY OF CULTURE AND ISLAMIC GUIDANCE,ir
PRESS SUPERVISORY BOARD,ir
AMNAFZAR GOSTAR-E SHARIF,ir
PEYKASA,ir
CENTER TO INVESTIGATE ORGANIZED CRIME,ir
MARINE INDUSTRIES ORGANIZATION,ir
SIMA GENERAL TRADING CO FZE,ir
POLINEX GENERAL TRADING LLC,ir
ASIA ENERGY GENERAL TRADING (LLC),ir
SYNERGY GENERAL TRADING FZE,ir
IMPIRE SHIPPING COMPANY,ir
GRACE BAY SHIPPING INC,ir
GARBIN NAVIGATION LTD,ir
MONSOON SHIPPING LTD,ir
KONING MARINE CORP,ir
BLUE TANKER SHIPPING SA,ir
JUPITER SEAWAYS SHIPPING,ir
HERCULES INTERNATIONAL SHIP,ir
HERMIS SHIPPING SA,ir
ISLAMIC REPUBLIC OF IRAN BROADCASTING,ir
IRANIAN COMMUNICATIONS REGULATORY AUTHORITY,ir
IRANIAN CYBER POLICE,ir
SAMBOUK SHIPPING FZC,ir
BANDAR IMAM PETROCHEMICAL COMPANY,ir
BU ALI SINA PETROCHEMICAL COMPANY,ir
MOBIN PETROCHEMICAL COMPANY,ir
NOURI PETROCHEMICAL COMPANY,ir
PARS PETROCHEMICAL COMPANY,ir
SHAHID TONDGOYAN PETROCHEMICAL COMPANY,ir
SHAZAND PETROCHEMICAL COMPANY,ir
TABRIZ PETROCHEMICAL COMPANY,ir
COMMITTEE TO DETERMINE INSTANCES OF CRIMINAL CONTENT,ir
OFOGH SABERIN ENGINEERING DEVELOPMENT COMPANY,ir
EXECUTION OF IMAM KHOMEINI'S ORDER,ir
TOSEE EQTESAD AYANDEHSAZAN COMPANY,ir
TADBIR ECONOMIC DEVELOPMENT GROUP,ir
TADBIR INVESTMENT COMPANY,ir
MODABER,ir
TADBIR CONSTRUCTION DEVELOPMENT COMPANY,ir
TADBIR ENERGY DEVELOPMENT GROUP CO.,ir
REY INVESTMENT COMPANY,ir
REYCO GMBH.,ir
MCS INTERNATIONAL GMBH,ir
MCS ENGINEERING,ir
GOLDEN RESOURCES TRADING COMPANY L.L.C.,ir
CYLINDER SYSTEM L.T.D.,ir
AMIN INVESTMENT BANK,ir
PARDIS INVESTMENT COMPANY,ir
MELLAT INSURANCE COMPANY,ir
IRAN & SHARGH COMPANY,ir
IRAN & SHARGH LEASING COMPANY,ir
TADBIR BROKERAGE COMPANY,ir
ZARIN RAFSANJAN CEMENT COMPANY,ir
RISHMAK PRODUCTIVE & EXPORTS COMPANY,ir
OMID REY CIVIL & CONSTRUCTION COMPANY,ir
BEHSAZ KASHANE TEHRAN CONSTRUCTION CO.,ir
ROYAL ARYA CO.,ir
HORMOZ OIL REFINING COMPANY,ir
GHAED BASSIR PETROCHEMICAL PRODUCTS COMPANY,ir
PERSIA OIL & GAS INDUSTRY DEVELOPMENT CO.,ir
PARS OIL CO.,ir
COMMERCIAL PARS OIL CO.,ir
MARJAN PETROCHEMICAL COMPANY,ir
GHADIR INVESTMENT COMPANY,ir
SADAF PETROCHEMICAL ASSALUYEH COMPANY,ir
POLYNAR COMPANY,ir
ONE CLASS PROPERTIES (PTY) LTD.,ir
ONE VISION INVESTMENTS 5 (PTY) LTD.,ir
PARS MCS,ir
OIL INDUSTRY INVESTMENT COMPANY,ir
REY NIRU ENGINEERING COMPANY,ir
SWISS MANAGEMENT SERVICES SARL,ir
KASB INTERNATIONAL LLC,ir
PETRO ROYAL FZE,ir
AA ENERGY FZCO,ir
QODS AVIATION INDUSTRIES,ir
IRAN AVIATION INDUSTRIES ORGANIZATION,ir
KHAVARMIANEH BANK,ir
GHARZOLHASANEH RESALAT BANK,ir
KISH INTERNATIONAL BANK,ir
KAFOLATBANK,ir
DOURAN SOFTWARE TECHNOLOGIES,ir
ABYSSEC,ir
ROSOBORONEKSPORT OAO,ir
TEHRAN PRISONS ORGANIZATION,ir
RAJAEE SHAHR PRISON,ir
SUPREME COUNCIL OF CYBERSPACE,ir
NATIONAL CYBERSPACE CENTER,ir
EVIN PRISON,ir
ANSAR-E HEZBOLLAH,ir
BANK MELLAT,ir
ESFAHAN'S MOBARAKEH STEEL COMPANY,ir
PARSIAN BANK,ir
SINA BANK,ir
IRAN AIR,ir
ISLAMIC REPUBLIC OF IRAN SHIPPING LINES,ir
GHESHM SHIPPING LINES MARINE AND ENGINEERING SERVICES CO,ir
IRISL EUROPE GMBH,ir
IRISL MULTIMODAL TRANSPORT CO.,ir
IRISL MARITIME TRAINING INSTITUTE,ir
ISLAMIC REPUBLIC OF IRAN SHIPPING LINES INVESTMENT,ir
SHIPPING COMPUTER SERVICES COMPANY,ir
PERSIAN GULF SHIPPING LINES LTD,ir
SOUTH SHIPPING LINES - IRAN LINE,ir
VALFAJR SHIPPING COMPANY PJS,ir
IRANO HIND SHIPPING COMPANY LTD,ir
BIIS MARITIME LIMITED,ir
ISI MARITIME LIMITED,ir
ISIM TAJ MAHAL LIMITED,ir
ISIM ATR LIMITED,ir
ISIM SININ LIMITED,ir
IRANO MISR SHIPPING COMPANY,ir
SAFIRAN PAYAM DARYA SHIPPING COMPANY,ir
KHAZAR SEA SHIPPING LINES,ir
HAFEZ DARYA ARYA SHIPPING COMPANY,ir
DARYA CAPITAL ADMINISTRATION GMBH,ir
OCEAN CAPITAL ADMINISTRATION GMBH,ir
NARI SHIPPING AND CHARTERING GMBH & CO. KG,ir
FIRST OCEAN ADMINISTRATION GMBH,ir
FIRST OCEAN GMBH & CO KG,ir
FOURTH OCEAN GMBH & CO KG,ir
EIGHTH OCEAN GMBH & CO. KG,ir
NINTH OCEAN GMBH & CO. KG,ir
ELEVENTH OCEAN ADMINISTRATION GMBH,ir
ELEVENTH OCEAN GMBH & CO. KG,ir
TWELFTH OCEAN ADMINISTRATION GMBH,ir
TWELFTH OCEAN GMBH & CO. KG,ir
FOURTEENTH OCEAN GMBH & CO. KG,ir
FIFTEENTH OCEAN GMBH & CO. KG,ir
HTTS HANSEATIC TRADE TRUST & SHIPPING GMBH,ir
MARANER HOLDINGS LIMITED,ir
HOOPAD DARYA SHIPPING AGENCY SERVICES,ir
KALAN KISH SHIPPING CO,ir
KHAYBAR COMPANY,ir
MOSAKHAR DARYA SHIPPING CO,ir
RAHBARAN OMID DARYA SHIP MANAGEMENT CO.,ir
PERSIA HORMOZ SHIP REPAIR YARD COMPANY PJS,ir
MARINE INFORMATION TECHNOLOGY DEVELOPMENT COMPANY,ir
FARADARYAY-E NIK-E GHESHM INVESTMENT,ir
IRITAL SHIPPING LINES COMPANY,ir
LONDON IRINVEST SHIP COMPANY,ir
BUSHEHR SHIPPING COMPANY LIMITED,ir
KERMAN SHIPPING COMPANY LIMITED,ir
MARBLE SHIPPING LTD,ir
MOALLEM INSURANCE CO.,ir
FUTURE BANK B.S.C.,ir
BANK MELLI IRAN,ir
BANK SEPAH,ir
POST BANK OF IRAN,ir
DAY BANK,ir
ATOMIC ENERGY ORGANIZATION OF IRAN,ir
PARS ISOTOPE COMPANY,ir
IRAN'S NUCLEAR POWER PLANT CONSTRUCTION MANAGEMENT COMPANY,ir
NUCLEAR POWER PRODUCTION AND DEVELOPMENT COMPANY OF IRAN,ir
RADIATION APPLICATIONS DEVELOPMENT COMPANY,ir
EXPORT DEVELOPMENT BANK OF IRAN,ir
RASTIN KHADAMAT PARSIAN COMPANY,ir
URANIUM PROCESSING AND NUCLEAR FUEL COMPANY,ir
POWER PLANT EQUIPMENT MANUFACTURING COMPANY,ir
AEOI BASIJ RESISTANCE CENTER,ir
ADVANCED TECHNOLOGIES COMPANY OF IRAN,ir
IRAN-VENEZUELA BI-NATIONAL BANK,ir
NOVIN ENERGY COMPANY,ir
ATOMIC FUEL DEVELOPMENT ENGINEERING COMPANY,ir
MESBAH ENERGY COMPANY,ir
TAMAS COMPANY,ir
NUCLEAR INDUSTRY EXPLORATION AND RAW MATERIALS PRODUCTION COMPANY,ir
NOVIN PARS MINERAL EXPLORATION AND MINING ENGINEERING COMPANY,ir
THE NUCLEAR REACTORS FUEL COMPANY,ir
NUCLEAR SCIENCE AND TECHNOLOGY RESEARCH INSTITUTE,ir
"AGRICULTURAL, MEDICAL, AND INDUSTRIAL RESEARCH CENTER",ir
JABBER IBN HAYAN,ir
BANK TEJARAT,ir
BANK TORGOVOY KAPITAL ZAO,ir
EUROPAISCH-IRANISCHE HANDELSBANK AG,ir
BANK OF INDUSTRY AND MINE,ir
AYANDEH BANK,ir
GHAVAMIN BANK,ir
ISLAMIC REPUBLIC OF IRAN - CHINA SHIPPING LINES,ir
ISLAMIC REPUBLIC OF IRAN - MIDDLE EAST SHIPPING LINES COMPANY,ir
SHIPPING WELFARE SERVICES INSTITUTE,ir
ESAIL SHIPPING LIMITED,ir
WITSHIPPING MARITIME PTE LTD,ir
OGHYANOUS KHOROSHAN KISH,ir
BELIZE SHIP AND LOGISTIC LIMITED,ir
BELIZE SHIPPING LINE SERVICE LIMITED,ir
FUTURE AGE SHIPPING LIMITED,ir
GOLDEN ENTERPRISE SHIPPING LIMITED,ir
INTERNATIONAL EXPERTISE GROUP LIMITED,ir
INTERNATIONAL TANKER LIMITED,ir
INTERSEAS SHIPYARD LTD,ir
MIRACLE TRANSPORTATION LIMITED,ir
MOMENT INVESTMENT LIMITED,ir
NATIONWIDE SHIPPING LTD,ir
NEW AGE SHIPPING LIMITED,ir
PACIFIC SHIPPING AND TRANSPORTATION LIMITED,ir
PALM SERVICE LIMITED,ir
STAR SHIP MANAGEMENT LIMITED,ir
WORLDFAST INTERNATIONAL LIMITED,ir
ATLANTIC SHIPPING & TRANS,ir
DIAMOND TRANSPORTATION LIMITED,ir
DIMOND TRANSPORTATION LIMITED,ir
EMPIRE MARITIME SERVICES LIMITED,ir
EUROPE TRANSPORTATION LIMITED,ir
GLOBAL AGE LIMITED,ir
GLOBAL UNITED SHIPPING LIMITED,ir
PACIFIC OCEAN SHIPPING LIMITED,ir
SPEED TRANSPORTATION LIMITED,ir
SPRING SHIPPING LIMITED,ir
TARGET TRANSPORTATION LIMITED,ir
UNIVERSAL SHIPPING AND TRANSPORTATION LIMITED,ir
UNIVERSE SHIPPING LIMITED,ir
WORLDWIDE SHIPPING & TRANSPORTATION LIMITED,ir
AZAR PAD QESHM,ir
ATLAS KIAN QESHM,ir
POUYA TAMIN KISH,ir
DARYANAVARD KISH,ir
PARSIAN OIL AND GAS DEVELOPMENT,ir
MOTOJEN,ir
GHADIR INVESTMENT AND INDUSTRY DEVELOPMENT,ir
GHADIR ELECTRICITY AND ENERGY INVESTMENT,ir
IRANIAN NOVIN INDUSTRY DEVELOPMENT,ir
NEGIN KISH INTERNATIONAL SAHEL AND FARASAHEL DEVELOPMENT,ir
SOUTH ALUMINUM COMPANY,ir
GHADIR MANAGEMENT AND COMMERCIAL SERVICES,ir
RAAHBAR INFORMATICS SERVICES,ir
SAKHTEMAN INTERNATIONAL DEVELOPMENT,ir
A.S.P. BUILDERS,ir
BAGHMISHEH RESIDENTIAL DEVELOPMENT,ir
BEHSAZAN PARS EQUIPMENT DEVELOPMENT,ir
AZERBAIJAN CONSTRUCTION,ir
GHADIR KHUZESTAN CONSTRUCTION INDUSTRY DEVELOPMENT,ir
FARS SARPANAH,ir
PARS SAZEH ENGINEERING AND CONSTRUCTION,ir
GHADIR PAYMAN COUNSELING ENGINEERS,ir
KISH ROOYA-E ZENDEGI,ir
OFOQ SAZEH PAYAH,ir
TISA KISH,ir
NARENJESTAN HOTEL AND BUILDING DEVELOPMENT,ir
MOMTAZ ELECTRIC,ir
PAYVAR ANDISH,ir
MOTOJEN AUTO INDUSTRY COMPANY,ir
KARAMAAD SYSTEMS MANAGEMENT,ir
HAMOON SEPAHAN INVESTMENT,ir
VASEPARI SEPEHR PARS,ir
HAMOON SEPAHAN MANAGEMENT SERVICES,ir
PARS PAIDAR SANAT NOVIN,ir
SHIRAZ PARS FARAYAND OIL REFINERY,ir
AZAR INVESTMENT,ir
HAMOON SEPAHAN COMMERCIAL TRADING,ir
DAY INVESTMENT,ir
KISH ASIA NAVAK,ir
SEPAHAN CEMENT,ir
SOUTH IRAN DARYABAN KISH,ir
SEPAHAN CEMENT INVESTMENT,ir
SEPAHAN CEMENT CONCRETE PRODUCTS,ir
IRAN MERINE SERVICES,ir
SEPAHAN CEMENT RAHNAVARD PRODUCTS TRANSPORTATION,ir
PARSIAN RAIL TRANSPORT DEVELOPMENT,ir
MAPNA KHUZESTAN ELECTRICITY GENERATION,ir
GHADIR OXIN ELECTRICITY GENERATION DEVELOPMENT,ir
GHADIR ABU MUSA HAMOON,ir
SEPAHAN CEMENT PAKAT-SAZI SHAFAGH,ir
QOM ENERGY GENERATION GOSTAR,ir
GILAN ELECTRICITY TRANSMISSION DEVELOPMENT,ir
SHARQ CEMENT,ir
GILAN ELECTRICITY GENERATION MANAGEMENT,ir
HORMOGAN ELECTRICITY AND POWER GENERATION,ir
SHARQ CEMENT MANUFACTURERS,ir
SHARQ CEMENT INDUSTRIAL LIMESTONE,ir
GHADIR LAMORD ENERGY,ir
SHARQ WHITE CEMENT,ir
GHADIR CASPIAN GILAN ENERGY,ir
SHARQ COALMINES,ir
GHADIR SOLAR ELECTRICITY AND ENERGY,ir
SEPEHR MASHAHD CEMENT TRANSPORTATION,ir
GHADIR PISHRO ELECTRICITY GENERATION,ir
PARS GHA'EM GOSTAR,ir
KURDISTAN CEMENT,ir
PAYANDEH JAAM ELECTRICITY ENERGY,ir
ARJAN ELECTRICITY AND ENERGY GENERATION MANAGEMENT,ir
TARABAR-GOROUS TRUST TRANSPORTATION,ir
POUYAN TABAAN ENERGY,ir
GHADIR REAL-TIME SYSTEMS DEVELOPMENT,ir
DANA INTEGRATED SYSTEM FOR ELECTRONIC INTERACTIONS CO.,ir
GHADIR MAZANDARAN ELECTRICITY AND ENERGY GENERATION,ir
RAAHBAR COMPUTER RESOURCES MANAGEMENT,ir
GHADIR MEHRIZ SOLAR ENERGY,ir
RAILCOM RAAHBAR CO.,ir
FANAVARAN ETEMAAD RAAHBAR CO.,ir
GHADIR TEHRAN ELECTRICITY AND ENERGY GENERATION DEVELOPMENT,ir
RAAHBAR SARIR INTEGRATED TRACKING SYSTEMS INC,ir
GHADIR QOM SOLAR ENERGY GENERATION DEVELOPMENT,ir
DAMAVAND ELECTRICITY AND POWER ENGINEERING,ir
PARS INTERNATIONAL INDUSTRY DEVELOPMENT,ir
TAKHTEH SHAHID BA HONAR,ir
GHADIR KANI ARIYA,ir
NEYRIZ STEEL,ir
PARS NICKEL KARAN KABIR,ir
GHADIR ETEZAD INVESTMENT,ir
GHADIR INDUSTRIAL TRADING,ir
GHADIR PETRO ARMAN KISH,ir
GHADIR CASPIAN STEEL TRADING,ir
ZARIN PERSIA INVESTMENT,ir
ARMAN RESOURCES EQUIP AND SUPPORT MANAGEMENT,ir
SEPEHR IRANIAN INSURANCE SERVICES,ir
TEJARAT PAYDAR PAYMAN DEVELOPMENT,ir
GHADIR INTERNATIONAL TRADING AND DEVELOPMENT,ir
IRANIAN TITANIUM DEVELOPMENT,ir
IRAN NUCLEAR REGULATORY AUTHORITY,ir
PROMSYRIOIMPORT,ir
FATEMIYOUN DIVISION,ir
ZAYNABIYOUN BRIGADE,ir
BS COMPANY OFFSHORE,ir
ZHUHAI ZHENRONG COMPANY LIMITED,ir
"COSCO SHIPPING TANKER (DALIAN) SEAMAN AND SHIP MANAGEMENT CO., LTD.",ir
PEGASUS 88 LIMITED,ir
"CHINA CONCORD PETROLEUM CO., LIMITED",ir
KUNLUN HOLDING COMPANY LTD.,ir
KUNLUN SHIPPING COMPANY LIMITED,ir
ARMED FORCES GENERAL STAFF,ir
ESFAHAN STEEL COMPANY,ir
KHORASAN STEEL COMPANY,ir
SOUTH KAVEH STEEL COMPANY,ir
CHADORMALU MINING & INDUSTRIAL COMPANY,ir
OXIN STEEL COMPANY,ir
ARFA IRON AND STEEL COMPANY,ir
IRAN ALLOY STEEL COMPANY,ir
KHOUZESTAN STEEL COMPANY,ir
ALMAHDI ALUMINUM CO.,ir
NATIONAL IRANIAN COPPER INDUSTRIES COMPANY,ir
GOLGOHAR MINING AND INDUSTRIAL COMPANY,ir
IRANIAN GHADIR IRON & STEEL CO.,ir
REPUTABLE TRADING SOURCE LLC,ir
SABA STEEL,ir
HORMOZGAN STEEL COMPANY,ir
IRAN ALUMINUM COMPANY,ir
KHALAGH TADBIR PARS CO.,ir
HONGYUAN MARINE CO LTD,ir
PAMCHEL TRADING BEIJING CO. LTD.,ir
POWER ANCHOR LIMITED,ir
SAGE ENERGY HK LIMITED,ir
BENEATHCO DMCC,ir
"PEAKVIEW INDUSTRY CO., LIMITED",ir
TRILIANCE PETROCHEMICAL CO. LTD.,ir
"SHANDONG QIWANGWA PETROCHEMICAL CO., LTD.",ir
JIAXIANG INDUSTRY HONG KONG LIMITED,ir
PETRO GRAND FZE,ir
ALPHABET INTERNATIONAL DMCC,ir
SWISSOL TRADE DMCC,ir
ALAM ALTHRWA GENERAL TRADING LLC,ir
ALWANEO L.L.C. CO.,ir
SPI INTERNATIONAL,ir
MCFLY PLASTIC HK LIMITED,ir
"DALIAN GOLDEN SUN IMPORT AND EXPORT CO., LTD.",ir
"TIANYI INTERNATIONAL DALIAN CO., LTD.",ir
"SATURN OASIS CO., LIMITED",ir
ARMED FORCES SOCIAL SECURITY INVESTMENT COMPANY,ir
MAIN STREET 1095 PROPRIETARY LIMITED,ir
LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN COOPERATIVE FOUNDATION,ir
GREAT TEHRAN PENITENTIARY,ir
QARCHAK PRISON,ir
TARA STEEL TRADING GMBH,ir
METIL STEEL,ir
PACIFIC STEEL FZE,ir
BETTER FUTURE GENERAL TRADING CO LLC,ir
TUKA METAL TRADING DMCC,ir
SIRJAN JAHAN STEEL COMPLEX,ir
IRAN CENTRAL IRON ORE COMPANY,ir
ZAGROS PETROCHEMICAL,ir
ABADAN OIL REFINING COMPANY,ir
ZHIHANG SHIP MANAGEMENT SHANGHAI CO LTD,ir
NEW FAR INTERNATIONAL LOGISTICS LIMITED,ir
CHEMTRANS PETROCHEMICALS TRADING LLC,ir
SINO ENERGY SHIPPING HONGKONG LIMITED,ir
PETROTECH FZE,ir
DINRIN LIMITED,ir
TRIO ENERGY DMCC,ir
JINGHO TECHNOLOGY CO. LIMITED,ir
DYNAPEX ENERGY LIMITED,ir
RANA INTELLIGENCE COMPUTING COMPANY,ir
ADVANCED PERSISTENT THREAT 39,ir
ADEL ABAD PRISON,ir
ORUMIYEH PRISON,ir
VAKILABAD PRISON,ir
BRANCH 1 OF THE SHIRAZ REVOLUTIONARY COURT,ir
MORVARID PETROCHEMICAL,ir
ARYA SASOL POLYMER,ir
JIAXIANG ENERGY HOLDING PTE. LTD.,ir
BINRIN LIMITED,ir
ELFO ENERGY HOLDING LIMITED,ir
GLORY ADVANCED LIMITED,ir
SIBSHUR LIMITED,ir
"JANE SHANG CO., LIMITED",ir
BAKHTAR COMMERCIAL COMPANY,ir
KAVIAN PETROCHEMICAL COMPANY,ir
STRAIT SHIPBROKERS PTE. LTD.,ir
ISLAMIC REVOLUTION MOSTAZAFAN FOUNDATION,ir
IRAN ELECTRONIC DEVELOPMENT COMPANY,ir
SINA ENERGY DEVELOPMENT COMPANY,ir
SINA PAYA SANAT DEVELOPMENT CO.,ir
SANATI DOODEH FAM CO.,ir
RAH NEGAR PARS MIDDLE EAST COMPANY,ir
KAVEH PARS MINING INDUSTRIES DEVELOPMENT COMPANY,ir
PEYVAND TEJARAT ATIEH IRANIAN COMPANY,ir
SHISHEH VA GAS INDUSTRIES GROUP,ir
SINA FINANCIAL AND INVESTMENT HOLDING COMPANY,ir
DAMAVAND MINING,ir
TEHRAN CEMENT COMPANY,ir
SINA PORT AND MARINE SERVICES DEVELOPMENT COMPANY,ir
IRAN TIRE MANUFACTURING COMPANY,ir
BEHRAN OIL CO.,ir
TEHRAN INTERNATIONAL TRANSPORT CO,ir
NORTH WOOD INDUSTRY COMPANY,ir
KAVEH KHOZESTAN ALUMINUM COMPANY,ir
OMRAN VA MASKAN IRAN COMPANY,ir
SINA TILE AND CERAMIC INDUSTRIES COMPANY,ir
SINA CURRENCY EXCHANGE COMPANY,ir
INTERNATIONAL TRADE AND INDUSTRIAL TECHNOLOGY ITRITEC GMBH,ir
BONYAD SHIPPING AGENCIES COMPANY,ir
PARS TILE COMPANY,ir
SELKBAF CO,ir
ALIAF COMPANY,ir
SOMIC ENGINEERING AND MANAGEMENT CO,ir
BONYAD EASTERN RAILWAY COMPANY,ir
HEJAB TEXTILE COMPANY,ir
PISHGAMAN HORIZON DEVELOPMENT IRANIAN BUSINESS TRADING COMPANY,ir
SINA RAIL PARS COMPANY,ir
PARSIAN TOURISM AND RECREATIONAL CENTERS COMPANY,ir
PAYANDAN COMPANY,ir
COAL TAR REFINING COMPANY,ir
PAYA SAMAN PARS,ir
PISHRO IRAN FINANCIAL AND INVESTMENT COMPANY,ir
PARS ENERGY-GOSTAR DRILLING AND EXPLORATION,ir
PARS SARRALLE COMPANY,ir
NORTH DRILLING COMPANY,ir
TALOON COMPANY,ir
RAMAN COMPANY,ir
DAY COMPANY,ir
MELLI SAKHTEMAN COMPANY,ir
BEH TAM RAVANKAR,ir
BEHRAN TRADING COMPANY,ir
TABCHEM CHEMICAL INDUSTRIES CO.,ir
TURIRA COMPANY,ir
KAVEH SHARGH STEEL CO.,ir
ARVAND KAVEH STEEL CO.,ir
SOUTH ROUHINA STEEL COMPLEX,ir
DONGHAI INTERNATIONAL SHIP MANAGEMENT LTD,ir
PETROCHEM SOUTH EAST LTD,ir
ALPHA TECH TRADING FZE,ir
PETROLIANCE TRADING FZE,ir
KHAZAR STEEL CO.,ir
PASARGAD STEEL COMPLEX,ir
VIAN STEEL COMPLEX,ir
"KAIFENG PINGMEI NEW CARBON MATERIALS TECHNOLOGY CO., LTD.",ir
YAZD INDUSTRIAL CONSTRUCTIONAL STEEL ROLLING MILL,ir
WEST ALBORZ STEEL COMPLEX,ir
ESFARAYEN INDUSTRIAL COMPLEX,ir
BONAB STEEL INDUSTRY COMPLEX,ir
GILAN STEEL COMPLEX,ir
SIRJAN IRANIAN STEEL,ir
ZARAND IRANIAN STEEL COMPANY,ir
MIDDLE EAST MINES AND MINERAL INDUSTRIES DEVELOPMENT HOLDING COMPANY,ir
GMI PROJECTS HAMBURG GMBH,ir
GMI PROJECTS LTD,ir
WORLD MINING INDUSTRY COMPANY LTD,ir
ASTAN QUDS RAZAVI,ir
